"","customer_id","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",8141271,2016-01-01,24441.8199768066,3430.44119581999,NA,NA,NA,NA,NA
"2",8141271,2016-02-01,6220.24000167847,37069.7089061648,NA,NA,NA,NA,NA
"3",8141271,2016-03-01,42977.8598327637,51109.9222596036,NA,NA,NA,NA,NA
"4",8141271,2016-04-01,40455.2800102234,55907.7761317331,NA,NA,NA,NA,NA
"5",8141271,2016-05-01,9800.75,12212.2805694294,NA,NA,NA,NA,NA
"6",8141271,2016-06-01,31384.1200008392,20996.9005979408,NA,NA,NA,NA,NA
"7",8141271,2016-07-01,18536.9900016785,77883.9755995369,NA,NA,NA,NA,NA
"8",8141271,2016-08-01,17535.9499931335,-9129.50902268794,NA,NA,NA,NA,NA
"9",8141271,2016-09-01,22342.6099700928,24193.8438018757,NA,NA,NA,NA,NA
"10",8141271,2016-10-01,13472.7099514008,16514.3854896892,NA,NA,NA,NA,NA
"11",8141271,2016-11-01,24531.6899719238,37618.4275144479,NA,NA,NA,NA,NA
"12",8141271,2016-12-01,16965.8299617767,-44035.2134537081,NA,NA,NA,NA,NA
"13",8141271,2017-01-01,16441.4499931335,-3897.45496260287,NA,NA,NA,NA,NA
"14",8141271,2017-02-01,48096,29415.6203183864,NA,NA,NA,NA,NA
"15",8141271,2017-03-01,76146,67480.9496380866,NA,NA,NA,NA,NA
"16",8141271,2017-04-01,101208,80426.4678816639,NA,NA,NA,NA,NA
"17",8141271,2017-05-01,64517,54306.7726748531,NA,NA,NA,NA,NA
"18",8141271,2017-06-01,64730,69213.7453002665,NA,NA,NA,NA,NA
"19",8141271,2017-07-01,183162,118887.459838976,NA,NA,NA,NA,NA
"20",8141271,2017-08-01,69567,91838.2508417897,NA,NA,NA,NA,NA
"21",8141271,2017-09-01,107395,101424.197578939,NA,NA,NA,NA,NA
"22",8141271,2017-10-01,107003,97538.9226416562,NA,NA,NA,NA,NA
"23",8141271,2017-11-01,145404,124709.047486448,NA,NA,NA,NA,NA
"24",8141271,2017-12-01,9671,59441.6674155504,NA,NA,NA,NA,NA
"25",8141271,2018-01-01,5548,45848.1249948321,NA,NA,NA,NA,NA
"26",8141271,2018-02-01,NA,NA,49747.4272029746,11369.8037968137,88125.0506091354,-8946.08284424083,108440.93725019
"27",8141271,2018-03-01,NA,NA,78751.5883391219,36097.3764415074,121405.800236736,13517.600604311,143985.576073933
"28",8141271,2018-04-01,NA,NA,87494.0079312551,40954.5450324626,134033.470830048,16318.0415527904,158669.97430972
"29",8141271,2018-05-01,NA,NA,51293.9524295468,1169.49311865176,101418.411740442,-25364.7928251939,127952.697684288
"30",8141271,2018-06-01,NA,NA,61248.3176367863,7778.68854221471,114717.946731358,-20526.4233175824,143023.058591155
