"","product_id","year","month","total_sales"
"126","EB11                     ",2018,1,213.460006713867
"127","D133602                  ",2018,1,1450
"128","CSP10025030              ",2018,1,2500
"129","CFS10040830              ",2018,1,638
"130","CDX18124230              ",2018,1,679.25
"131","CDF10040830              ",2018,1,2084
"132","CDF10025430              ",2018,1,521
"133","CB5ST                    ",2018,1,2484
"134","C1041                    ",2018,1,1971.7900390625
"135","BP360                    ",2018,1,6949
"136","BLU-7                    ",2018,1,1165
"137","BE3294G                  ",2018,1,1448.36999511719
"138","BCC2                     ",2018,1,143.230003356934
"139","BA2574H                  ",2018,1,961.450012207031
"140","B5LT                     ",2018,1,9397.5
"141","B15LT                    ",2018,1,930
"142","AHV6                     ",2018,1,645.690002441406
"143","960781",2018,1,450
"144","960087",2018,1,919.539978027344
"145","8699H                    ",2018,1,1132.19995117188
"146","8684H                    ",2018,1,727.299987792969
"147","8661H                    ",2018,1,2991.07000732422
"148","866029",2018,1,1135.92004394531
"149","866025",2018,1,757.280029296875
"150","866024",2018,1,1135.92004394531
"151","866023",2018,1,1135.92004394531
"152","8325H                    ",2018,1,253.759994506836
"153","823162",2018,1,1350
"154","823074",2018,1,135
"155","821745",2018,1,300
"156","821707",2018,1,256.5
"157","821517",2018,1,397.5
"158","82016",2018,1,75.4400024414062
"159","801407",2018,1,480.270004272461
"160","7060G                    ",2018,1,185.199996948242
"161","67025690B                ",2018,1,98
"162","67025600",2018,1,294
"163","641CX3509                ",2018,1,1320.5
"164","641CX0406                ",2018,1,1320.5
"165","641CX0304                ",2018,1,1320.5
"166","641CF1230                ",2018,1,1320.5
"167","614482",2018,1,134.399993896484
"168","606S255FX                ",2018,1,380
"169","606051MX                 ",2018,1,380
"170","5DCS                     ",2018,1,1140
"171","5BB                      ",2018,1,864.070007324219
"172","55626000",2018,1,196
"173","55625890",2018,1,392
"174","55625600",2018,1,686
"175","55625490",2018,1,1288
"176","520060000",2018,1,258.399993896484
"177","411962",2018,1,7671.50006103516
"178","3549222",2018,1,10091.080078125
"179","3548224",2018,1,2522.77001953125
"180","3548222",2018,1,7568.31005859375
"181","3545535",2018,1,3597.26000976562
"182","3544509",2018,1,5395.89001464844
"183","3541308",2018,1,2679.59008789062
"184","3541258",2018,1,5359.18017578125
"185","3541058",2018,1,5359.18017578125
"186","3507300BC                ",2018,1,1427.77001953125
"187","3505504BC                ",2018,1,2855.5400390625
"188","3503254BC                ",2018,1,4283.31005859375
"189","3503004BC                ",2018,1,1427.77001953125
"190","3502754BC                ",2018,1,1427.77001953125
"191","3502504BC                ",2018,1,1427.77001953125
"192","3341406",2018,1,5359.18017578125
"193","3341356",2018,1,13397.9504394531
"194","3341254",2018,1,2679.59008789062
"195","3341203",2018,1,2679.59008789062
"196","3341109",2018,1,8038.77026367188
"197","3341007",2018,1,2679.59008789062
"198","3245250",2018,1,3597.26000976562
"199","3244425",2018,1,5395.89001464844
"200","3241355",2018,1,4287.080078125
"201","310.509",2018,1,884
"202","2B5ST                    ",2018,1,1560
"203","261222",2018,1,99.120002746582
"204","251003",2018,1,213.199996948242
"205","241.351",2018,1,400
"206","231821",2018,1,245
"207","231818",2018,1,245
"208","231807",2018,1,245
"209","228305",2018,1,2266
"210","2234",2018,1,327.140014648438
"211","2233",2018,1,1724.87002563477
"212","223111",2018,1,202.339996337891
"213","223102",2018,1,2410
"214","223.408",2018,1,4558
"215","222983",2018,1,1590
"216","222249",2018,1,1680
"217","2162",2018,1,858.199996948242
"218","214640",2018,1,512.330017089844
"219","214575",2018,1,500.450012207031
"220","212857",2018,1,236.589996337891
"221","212855",2018,1,712.079986572266
"222","212853",2018,1,236
"223","210814",2018,1,287
"224","210711",2018,1,574
"225","202.832",2018,1,240
"226","202.83",2018,1,320
"227","201.89",2018,1,401
"228","201.888",2018,1,401
"229","201.883",2018,1,401
"230","201.764",2018,1,660
"231","201.362",2018,1,98
"232","1906E                    ",2018,1,209.129997253418
"233","1674H                    ",2018,1,2472.86999511719
"234","129454000",2018,1,450
"235","129435120",2018,1,1046
"236","12532",2018,1,193.380004882812
"237","ZX4                      ",2018,1,181.559997558594
"238","12450",2018,1,231
"239","04.613.518               ",2018,1,749.900024414062
"240","03.000.308S              ",2018,1,442.459991455078
"241","02.211.018               ",2018,1,830
"242","02.210.118               ",2018,1,1875
"243","02.210.112               ",2018,1,375
"244","02.104.010S              ",2018,1,6505.2001953125
"245","Z443E                    ",2018,1,629.059997558594
"246","Z316H                    ",2018,1,3389.0400390625
"247","Z1927G                   ",2018,1,1571.85000610352
"248","Z1926G                   ",2018,1,524.760009765625
"249","Z14H                     ",2018,1,2578.21997070312
"250","Z1312H                   ",2018,1,1496.35998535156
"251","Y925H                    ",2018,1,143.339996337891
"252","Y493H                    ",2018,1,1298.58996582031
"253","Y423H                    ",2018,1,1802.30004882812
"254","X905G                    ",2018,1,60.6199989318848
"255","WS381H                   ",2018,1,149.990001678467
"256","WS367H                   ",2018,1,245.919994354248
"257","W995                     ",2018,1,134.660003662109
"258","W9442                    ",2018,1,116.130001068115
"259","W9377                    ",2018,1,33.7999992370605
"260","W936                     ",2018,1,58.0399990081787
"261","W9236T                   ",2018,1,1788.0100402832
"262","W9210H                   ",2018,1,101.389999389648
"263","W9205H                   ",2018,1,138.350006103516
"264","W9102H                   ",2018,1,257.160003662109
"265","W8977                    ",2018,1,353.059997558594
"266","W8845                    ",2018,1,100.009998321533
"267","W8712                    ",2018,1,343.050003051758
"268","W8558                    ",2018,1,101.579998016357
"269","W8522                    ",2018,1,558.110008239746
"270","W8355                    ",2018,1,354.139999389648
"271","W8170                    ",2018,1,105.349998474121
"272","W782H                    ",2018,1,123.819999694824
"273","W635                     ",2018,1,8.88000011444092
"274","W6155                    ",2018,1,10.5600004196167
"275","W580                     ",2018,1,17.7600002288818
"276","W570H                    ",2018,1,126.729995727539
"277","W528H                    ",2018,1,265.150003433228
"278","W523                     ",2018,1,166.359996795654
"279","W3490                    ",2018,1,78.5
"280","W327H                    ",2018,1,110.010000228882
"281","W3206                    ",2018,1,1075.59998703003
"282","W3205                    ",2018,1,838.679992675781
"283","W295                     ",2018,1,128.669998168945
"284","W2812                    ",2018,1,1788.03997802734
"285","W214                     ",2018,1,35.1399993896484
"286","W204                     ",2018,1,7.1399998664856
"287","W1770                    ",2018,1,2096.16999816895
"288","W1709                    ",2018,1,105.080001831055
"289","W1621T                   ",2018,1,578.140018463135
"290","VW0804.07.10             ",2018,1,571
"291","VS303.055                ",2018,1,443
"292","VS303.024                ",2018,1,666
"293","VS303.020                ",2018,1,333
"294","VS302.014                ",2018,1,81
"295","VS211.014                ",2018,1,360
"296","VS210.013                ",2018,1,418
"297","VS210.011                ",2018,1,209
"298","VS209.020                ",2018,1,171
"299","VS209.010                ",2018,1,342
"300","VS208.016                ",2018,1,378
"301","VS208.012                ",2018,1,378
"302","VS208.008                ",2018,1,355
"303","VS208.006                ",2018,1,355
"304","VS207.009                ",2018,1,341
"305","VP4401.L3                ",2018,1,2097
"306","VP4021.08                ",2018,1,1206
"307","VP4012.12                ",2018,1,1299
"308","VCP9982H                 ",2018,1,161.169998168945
"309","VCP765G                  ",2018,1,480.820007324219
"310","VCP626E                  ",2018,1,371.700012207031
"311","VCP603H                  ",2018,1,1455
"312","VCP602H                  ",2018,1,1455
"313","VCP353H                  ",2018,1,199.800003051758
"314","VCP3170H                 ",2018,1,115.419998168945
"315","VCP316H                  ",2018,1,2897.20006561279
"316","V960G                    ",2018,1,155.5
"317","V9380H                   ",2018,1,198.559997558594
"318","V684H                    ",2018,1,103.769996643066
"319","V6830H                   ",2018,1,256.959999084473
"320","V66H                     ",2018,1,77.2099990844727
"321","V6191H                   ",2018,1,145.119995117188
"322","V5180H                   ",2018,1,201.029998779297
"323","V496H                    ",2018,1,1453.98003005981
"324","V473H                    ",2018,1,826.109985351562
"325","V416H                    ",2018,1,537.119995117188
"326","V397H                    ",2018,1,2488.80004882812
"327","V393H                    ",2018,1,2591.87002563477
"328","V377H                    ",2018,1,931.510009765625
"329","V376H                    ",2018,1,874.440002441406
"330","V351H                    ",2018,1,706.440002441406
"331","V341H                    ",2018,1,621.559997558594
"332","V32H                     ",2018,1,1638.69995117188
"333","V325H                    ",2018,1,125.540000915527
"334","V317H                    ",2018,1,741.219993591309
"335","V3160H                   ",2018,1,1734.72003173828
"336","V311H                    ",2018,1,1817.16002655029
"337","V305H                    ",2018,1,277.580001831055
"338","V1408E                   ",2018,1,110.120002746582
