"","customer_id","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",5710327,2016-01-01,654074.831939697,769679.236434716,NA,NA,NA,NA,NA
"2",5710327,2016-02-01,394918.127868652,328632.423526586,NA,NA,NA,NA,NA
"3",5710327,2016-03-01,1039788.50280762,743868.762915054,NA,NA,NA,NA,NA
"4",5710327,2016-04-01,864060.777862549,899263.174151439,NA,NA,NA,NA,NA
"5",5710327,2016-05-01,782296.70513916,852298.568746443,NA,NA,NA,NA,NA
"6",5710327,2016-06-01,934281.246337891,911864.019942558,NA,NA,NA,NA,NA
"7",5710327,2016-07-01,126620.511230469,611691.645563659,NA,NA,NA,NA,NA
"8",5710327,2016-08-01,765785.44140625,584331.469565465,NA,NA,NA,NA,NA
"9",5710327,2016-09-01,874663.264587402,807292.289888278,NA,NA,NA,NA,NA
"10",5710327,2016-10-01,967183.717590332,937480.910361893,NA,NA,NA,NA,NA
"11",5710327,2016-11-01,1163576.45904541,1114149.86061331,NA,NA,NA,NA,NA
"12",5710327,2016-12-01,745343.999511719,914520.673278586,NA,NA,NA,NA,NA
"13",5710327,2017-01-01,512428.697021484,662480.223435335,NA,NA,NA,NA,NA
"14",5710327,2017-02-01,48096,198706.244242016,NA,NA,NA,NA,NA
"15",5710327,2017-03-01,76146,470841.215055491,NA,NA,NA,NA,NA
"16",5710327,2017-04-01,101208,170588.8248805,NA,NA,NA,NA,NA
"17",5710327,2017-05-01,64517,101074.328898336,NA,NA,NA,NA,NA
"18",5710327,2017-06-01,64730,182705.46974632,NA,NA,NA,NA,NA
"19",5710327,2017-07-01,183162,-210093.747535619,NA,NA,NA,NA,NA
"20",5710327,2017-08-01,69567,342039.514089837,NA,NA,NA,NA,NA
"21",5710327,2017-09-01,107395,265513.406265039,NA,NA,NA,NA,NA
"22",5710327,2017-10-01,107003,246930.972112013,NA,NA,NA,NA,NA
"23",5710327,2017-11-01,145404,311682.67893622,NA,NA,NA,NA,NA
"24",5710327,2017-12-01,9671,-30262.3082175546,NA,NA,NA,NA,NA
"25",5710327,2018-01-01,5548.00000000001,-144338.334105406,NA,NA,NA,NA,NA
"26",5710327,2018-02-01,NA,NA,-410222.409831387,-672441.442137386,-148003.377525388,-811251.812938005,-9193.00672476849
"27",5710327,2018-03-01,NA,NA,-38719.3677692625,-352867.838832894,275429.103294369,-519167.993979155,441729.25844063
"28",5710327,2018-04-01,NA,NA,-78563.8258774818,-437199.71761134,280072.065856376,-627050.090699032,469922.438944068
"29",5710327,2018-05-01,NA,NA,-102302.957874861,-500486.513296054,295880.597546331,-711272.154935614,506666.239185891
"30",5710327,2018-06-01,NA,NA,3447.59982230365,-430695.907299459,437591.106944066,-660517.597488323,667412.79713293
