"","product_id","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1","W525                     ",2016-01-01,96.8800010681152,102.773549979099,NA,NA,NA,NA,NA
"2","W525                     ",2016-02-01,251.370002746582,178.389950239071,NA,NA,NA,NA,NA
"3","W525                     ",2016-03-01,366.480005264282,672.925221494172,NA,NA,NA,NA,NA
"4","W525                     ",2016-04-01,505.719997406006,211.196333029861,NA,NA,NA,NA,NA
"5","W525                     ",2016-05-01,400.070003509522,-230.328546455172,NA,NA,NA,NA,NA
"6","W525                     ",2016-06-01,200.520002365112,252.513691306629,NA,NA,NA,NA,NA
"7","W525                     ",2016-07-01,688.400005340576,-150.114603355624,NA,NA,NA,NA,NA
"8","W525                     ",2016-08-01,354.000001907349,992.296118702164,NA,NA,NA,NA,NA
"9","W525                     ",2016-09-01,497.880004882812,439.164834810827,NA,NA,NA,NA,NA
"10","W525                     ",2016-10-01,260.300003051758,169.443186455652,NA,NA,NA,NA,NA
"11","W525                     ",2016-11-01,325.660005569458,633.07356376822,NA,NA,NA,NA,NA
"12","W525                     ",2016-12-01,512.700002670288,336.494224888803,NA,NA,NA,NA,NA
"13","W525                     ",2017-01-01,219.430004119873,735.545862460097,NA,NA,NA,NA,NA
"14","W525                     ",2017-02-01,1558.83,432.292815666426,NA,NA,NA,NA,NA
"15","W525                     ",2017-03-01,2487.91,1709.15492876598,NA,NA,NA,NA,NA
"16","W525                     ",2017-04-01,2079.73,2053.24974744971,NA,NA,NA,NA,NA
"17","W525                     ",2017-05-01,1064.34,1412.68719879957,NA,NA,NA,NA,NA
"18","W525                     ",2017-06-01,1522.14,1168.75435482252,NA,NA,NA,NA,NA
"19","W525                     ",2017-07-01,535,1067.14356042686,NA,NA,NA,NA,NA
"20","W525                     ",2017-08-01,2144.89,1191.76165946876,NA,NA,NA,NA,NA
"21","W525                     ",2017-09-01,2078.65,1820.35468090866,NA,NA,NA,NA,NA
"22","W525                     ",2017-10-01,1940.24,1698.83278647336,NA,NA,NA,NA,NA
"23","W525                     ",2017-11-01,2917.86,2274.25550329101,NA,NA,NA,NA,NA
"24","W525                     ",2017-12-01,2870.41,2683.86183670019,NA,NA,NA,NA,NA
"25","W525                     ",2018-01-01,4269.49,3090.59329110844,NA,NA,NA,NA,NA
"26","W525                     ",2018-02-01,NA,NA,4045.98468660594,3320.13384280192,4771.83553040997,2935.89161641463,5156.07775679726
"27","W525                     ",2018-03-01,NA,NA,4486.3280661533,3582.24543114254,5390.41070116406,3103.65299375685,5869.00313854975
"28","W525                     ",2018-04-01,NA,NA,4252.15239807861,3199.59770857074,5304.70708758647,2642.40891318225,5861.89588297496
"29","W525                     ",2018-05-01,NA,NA,3591.92673698481,2409.39667906578,4774.45679490384,1783.40307982519,5400.45039414443
"30","W525                     ",2018-06-01,NA,NA,3606.66174847554,2307.09131892623,4906.23217802485,1619.14028951069,5594.18320744039
